wi,wh,num connections,train time(us),train mse,test time(us),test mse
000000000,001,1,0:00:03.540987,120.144371772,0:00:00.002907,12.564379617
000000000,000,0,0:00:05.059631,120.144371772,0:00:00.082877,12.564379617
000000000,100,1,0:00:05.308238,120.144371772,0:00:00.002895,12.564379617
000000001,000,1,0:00:04.857382,120.144371772,0:00:00.002884,12.564379617
000000000,011,2,0:00:05.900636,120.144371772,0:00:00.146841,12.564379617
000000000,010,1,0:00:06.503056,120.144371772,0:00:00.015661,12.564379617
000000000,111,3,0:00:06.280905,120.144371772,0:00:00.002855,12.564379617
000000000,101,2,0:00:06.754658,120.144371772,0:00:00.002732,12.564379617
000000000,110,2,0:00:07.349028,120.144371772,0:00:00.002817,12.564379617
000000001,001,2,0:00:06.228128,67.9958922364,0:00:00.076563,7.1495052893
000000001,011,3,0:00:05.452717,67.9958922046,0:00:00.003093,7.14950499358
000000001,010,2,0:00:06.164412,120.144371772,0:00:00.035747,12.564379617
000000001,100,2,0:00:05.682672,120.144371772,0:00:00.002891,12.564379617
000000001,101,3,0:00:06.799420,67.9958922249,0:00:00.090386,7.14950518308
000000010,001,2,0:00:05.885503,120.144371772,0:00:00.009685,12.564379617
000000001,111,4,0:00:06.550771,67.9958921972,0:00:00.002820,7.1495049236
000000001,110,3,0:00:08.230990,120.144371772,0:00:00.002996,12.564379617
000000010,000,1,0:00:06.974004,120.144371772,0:00:00.027628,12.564379617
000000010,101,3,0:00:05.803456,120.144371772,0:00:00.002765,12.564379617
000000011,000,2,0:00:04.147638,120.144371772,0:00:00.019167,12.564379617
000000010,100,2,0:00:06.678298,120.144371772,0:00:00.002816,12.564379617
 000000010,010,2,0:00:08.440739,67.9958922353,0:00:00.126889,7.1495052793
000000010,011,3,0:00:07.316112,67.9958922368,0:00:00.002687,7.1495052926
000000010,110,3,0:00:05.807135,67.9958922353,0:00:00.002937,7.14950527919
000000011,001,3,0:00:05.223833,67.9958922355,0:00:00.002932,7.14950528123
000000010,111,4,0:00:06.032926,67.9958922205,0:00:00.376033,7.14950514149
000000011,010,3,0:00:06.547353,67.9958922235,0:00:00.002763,7.14950517004
000000011,011,4,0:00:04.574961,67.9821779418,0:00:00.004979,7.1478779312
000000011,100,3,0:00:05.869876,120.144371772,0:00:00.002897,12.564379617
000000100,000,1,0:00:06.095270,120.144371772,0:00:00.002924,12.564379617
000000011,101,4,0:00:07.151944,67.9958922318,0:00:00.002773,7.1495052466
000000100,001,2,0:00:06.090002,120.144371772,0:00:00.002662,12.564379617
000000011,110,4,0:00:07.795589,67.9958921982,0:00:00.002797,7.1495049333
000000011,111,5,0:00:08.755165,67.9821768558,0:00:00.002915,7.14787781663
000000100,011,3,0:00:06.511145,120.144371772,0:00:00.027905,12.564379617
000000100,010,2,0:00:07.362647,120.144371772,0:00:00.002807,12.564379617
000000100,100,2,0:00:05.894051,67.9958922353,0:00:00.002927,7.14950527893
000000100,101,3,0:00:05.530268,67.9958922363,0:00:00.110006,7.14950528838
000000100,110,3,0:00:05.491648,67.9958922304,0:00:00.002851,7.14950523373
000000100,111,4,0:00:06.223692,67.9958922372,0:00:00.002892,7.14950529641
000000101,001,3,0:00:05.895641,67.9958922345,0:00:00.002898,7.14950527201
000000101,000,2,0:00:06.975568,120.144371772,0:00:00.002844,12.564379617
 000000101,010,3,0:00:05.640469,120.144371772,0:00:00.002935,12.564379617
000000101,100,3,0:00:05.871326,67.9958922355,0:00:00.002862,7.1495052809
000000101,101,4,0:00:07.146805,67.9822210598,0:00:00.002805,7.1478823977
000000101,011,4,0:00:07.997669,67.9958922315,0:00:00.002854,7.14950524398
000000101,111,5,0:00:05.132033,67.9822568498,0:00:00.002804,7.1478861349
000000101,110,4,0:00:08.012848,67.9958922377,0:00:00.009061,7.14950530161
000000110,000,2,0:00:05.360930,120.144371772,0:00:00.002882,12.564379617
000000110,011,4,0:00:06.418710,67.9958922339,0:00:00.002766,7.14950526608
000000110,001,3,0:00:07.831639,120.144371772,0:00:00.002839,12.564379617
000000110,100,3,0:00:06.823287,67.9958922291,0:00:00.002891,7.14950522141
000000110,010,3,0:00:07.448612,67.9958922316,0:00:00.002778,7.14950524447
000000110,101,4,0:00:07.210563,67.9958922263,0:00:00.002794,7.14950519588
000000110,111,5,0:00:06.740293,67.9821785539,0:00:00.045995,7.14787799185
000000111,000,3,0:00:05.698663,120.144371772,0:00:00.002902,12.564379617
