"wi","wh","num connections","train time(us)","train mse","test time(us)","test mse"
"000000111","111",6,00:02:40.26,0.03,00:00:03.72,0.014214431513
"100000111","111",7,00:02:47.07,0.01,00:00:03.07,0.014292256198
"001000111","111",7,00:02:44.33,0.02,00:00:08.18,0.014362071220
"001010111","111",8,00:02:50.67,0.01,00:00:07.13,0.014549925808
"011000111","111",8,00:03:01.19,0.02,00:00:08.89,0.014558637659
"010100111","111",8,00:03:03.13,0.01,00:00:05.59,0.014570533086
"100010111","111",8,00:02:54.83,0.01,00:00:08.20,0.014578168178
"001100111","111",8,00:02:50.14,0.01,00:00:09.05,0.014579561346
"101000111","111",8,00:02:48.67,0.01,00:00:07.72,0.014623358825
"101001110","111",8,00:03:02.83,0.01,00:00:03.59,0.014636257479
"010001111","111",8,00:02:53.23,0.01,00:00:06.63,0.014649757035
"000010111","111",7,00:02:53.78,0.01,00:00:06.27,0.014664654392
"110100011","111",8,00:03:03.32,0.01,00:00:06.62,0.014680146694
"110001110","111",8,00:03:06.17,0.01,00:00:04.65,0.014706094375
"011001110","111",8,00:02:59.80,0.01,00:00:05.65,0.014716363112
"001100011","111",7,00:03:13.95,0.01,00:00:08.19,0.014719169560
"011001111","111",9,00:02:57.89,0.01,00:00:09.01,0.014721975801
"011010111","111",9,00:02:57.88,0.01,00:00:07.20,0.014761870288
"100100111","111",8,00:02:42.41,0.01,00:00:08.21,0.014769031014
"000101111","111",8,00:03:05.79,0.01,00:00:07.93,0.014773021927
"000110111","111",8,00:03:14.04,0.01,00:00:06.91,0.014781676288
"000100111","111",7,00:02:55.64,0.01,00:00:04.81,0.014785011406
"110000111","111",8,00:02:46.66,0.01,00:00:09.13,0.014787779654
"010010111","101",7,00:02:47.81,0.03,00:00:07.20,0.014799620733
"100100111","011",7,00:02:47.59,0.03,00:00:05.72,0.014799634303
"010001110","111",7,00:02:49.78,0.01,00:00:07.41,0.014802387985
"000000101","101",4,00:02:27.76,0.03,00:00:08.54,0.014803093414
"000100011","011",5,00:02:48.26,0.03,00:00:06.60,0.014809977925
"000010101","101",5,00:02:40.62,0.03,00:00:03.84,0.014811341248
"010000101","101",5,00:02:35.90,0.03,00:00:06.69,0.014813256639
"010101010","111",7,00:02:47.34,0.01,00:00:06.47,0.014813820232
"001000111","110",6,00:02:51.91,0.03,00:00:05.66,0.014814171280
"000001111","110",6,00:02:37.87,0.03,00:00:07.83,0.014815721619
"100010101","111",7,00:02:42.22,0.01,00:00:07.51,0.014818182540
"011100011","111",8,00:03:01.16,0.01,00:00:02.12,0.014818634493
"000000111","011",5,00:02:38.97,0.03,00:00:07.69,0.014818820452
"000100111","011",6,00:02:42.33,0.03,00:00:00.58,0.014820302372
"001001111","110",7,00:02:56.73,0.03,00:00:04.36,0.014820326606
"100000011","011",5,00:02:40.61,0.03,00:00:06.42,0.014825134048
"010110111","111",9,00:03:00.69,0.01,00:00:04.20,0.014832054380
"010010101","101",6,00:02:44.64,0.03,00:00:05.34,0.014834426178
"100000111","011",6,00:02:37.04,0.03,00:00:05.04,0.014834520461
"100001111","111",8,00:02:58.08,0.01,00:00:08.90,0.014838895024
"010010111","111",8,00:02:58.19,0.01,00:00:04.64,0.014845202922
"001110001","111",7,00:02:43.39,0.01,00:00:06.66,0.014868439140
"010110011","111",8,00:02:50.32,0.01,00:00:03.78,0.014874955880
"001011101","111",8,00:02:51.45,0.01,00:00:04.45,0.014878645891
"000001110","110",5,00:02:43.96,0.03,00:00:04.97,0.014884780472
"100100011","011",6,00:02:49.93,0.03,00:00:03.67,0.014885980483
"000000011","011",4,00:02:23.65,0.03,00:00:06.48,0.014900879594
"110000011","111",7,00:02:54.66,0.01,00:00:03.81,0.014904178136
"101010001","111",7,00:02:39.93,0.01,00:00:06.91,0.014908182444
"101011100","111",8,00:02:26.41,0.01,00:00:06.17,0.014908288772
"010101110","111",8,00:02:54.01,0.01,00:00:07.96,0.014911701982
"011010101","111",8,00:03:15.14,0.01,00:00:05.12,0.014916395699
"101000011","111",7,00:02:41.31,0.01,00:00:06.24,0.014916923213
"000010111","101",6,00:02:37.99,0.03,00:00:06.93,0.014925193178
"000000110","111",5,00:02:39.55,0.03,00:00:00.71,0.014926279452
"011000110","111",7,00:02:59.33,0.01,00:00:08.96,0.014933477175
"110101010","111",8,00:03:01.61,0.01,00:00:05.31,0.014935864974
"010100011","111",7,00:02:50.39,0.02,00:00:05.06,0.014944378531
"011100001","111",7,00:02:58.56,0.01,00:00:06.70,0.014944648077
"010101111","111",9,00:02:46.85,0.01,00:00:06.00,0.014948842436
"101110001","111",8,00:02:27.22,0.01,00:00:04.46,0.014950503287
"110100111","111",9,00:02:58.11,0.01,00:00:05.44,0.014956955676
"110010101","111",8,00:02:56.28,0.01,00:00:04.47,0.014957387185
"111000111","111",9,00:02:55.39,0.01,00:00:05.69,0.014959772050
"001010101","111",7,00:02:50.44,0.01,00:00:07.76,0.014961572348
"010100111","011",7,00:02:57.18,0.01,00:00:05.18,0.014962542191
"101000011","011",6,00:02:47.32,0.01,00:00:05.26,0.014963529320
"011000101","111",7,00:03:09.58,0.01,00:00:07.50,0.014964023037
"001010101","101",6,00:02:43.22,0.01,00:00:06.13,0.014964610868
"010001111","110",7,00:02:45.91,0.01,00:00:04.27,0.014964771907
"011000101","101",6,00:02:43.12,0.01,00:00:04.57,0.014965538640
"001000101","111",6,00:02:45.30,0.02,00:00:05.42,0.014966003377
"101100111","111",9,00:02:56.36,0.01,00:00:08.46,0.014968234048
"010000110","110",5,00:02:49.50,0.02,00:00:06.54,0.014970952454
"100000111","101",6,00:02:54.16,0.02,00:00:02.87,0.014971339202
"101001011","111",8,00:02:42.45,0.01,00:00:06.56,0.014972292781
"001000011","011",5,00:02:43.37,0.01,00:00:04.76,0.014973706808
"101100011","011",7,00:02:40.59,0.01,00:00:03.02,0.014974494568
"011000110","110",6,00:02:40.34,0.01,00:00:05.77,0.014975298804
"001100111","011",7,00:02:13.32,0.02,00:00:07.64,0.014975443777
"100000110","110",5,00:02:37.27,0.02,00:00:04.20,0.014975971037
"101000111","110",7,00:02:52.75,0.02,00:00:09.10,0.014976365235
"001001110","110",6,00:02:43.66,0.03,00:00:04.83,0.014977470216
"011000111","101",7,00:03:22.96,0.02,00:00:02.72,0.014978671096
"101000111","011",7,00:03:01.79,0.02,00:00:06.25,0.014980456441
"110001100","111",7,00:02:25.94,0.01,00:00:05.92,0.014980810492
"110010111","101",8,00:02:46.32,0.02,00:00:07.16,0.014984669573
"010000111","110",6,00:02:54.30,0.02,00:00:08.60,0.014986208121
"100010111","101",7,00:02:14.90,0.02,00:00:06.96,0.014989113081
"100000111","110",6,00:02:25.18,0.02,00:00:10.68,0.014991228557
"100010101","101",6,00:03:04.78,0.02,00:00:00.94,0.014995804627
